question_id,question_en,trait,key
Kehadiran saya dapat menghidupkan suasana.,Am the life of the party.,1,+
Saya tidak terlalu peduli terhadap orang lain.,Feel little concern for others.,2,-
Saya selalu mempersiapkan segala sesuatunya.,Am always prepared.,3,+
Saya mudah cemas saat menghadapi situasi-situasi yang menekan.,Get stressed out easily.,4,-
Saya memiliki banyak perbendaharaan kata.,Have a rich vocabulary.,5,+
Saya tidak banyak bicara.,Don't talk a lot.,1,-
Saya memiliki minat yang besar untuk berhubungan dengan orang lain.,Am interested in people.,2,+
Saya sering melupakan barang-barang milik saya.,Leave my belongings around.,3,-
Saya tergolong tenang menghadapi berbagai situasi.,Am relaxed most of the time.,4,+
Saya sulit menangkap ide-ide baru yang berbeda dari biasanya.,Have difficulty understanding abstract ideas.,5,-
Saya senang berkumpul dengan banyak orang.,Feel comfortable around people.,1,+
Saya sering mengkritik orang lain.,Insult people.,2,-
"Dalam keseharian, saya selalu memperhatikan hal-hal kecil.",Pay attention to details.,3,+
Saya mudah khawatir terhadap hal-hal yang akan terjadi.,Worry about things.,4,-
Saya memiliki imajinasi yang baik.,Have a vivid imagination.,5,+
Saya tidak suka menunjukkan diri.,Keep in the background.,1,-
Saya dapat dengan cepat ikut merasakan perasaan orang lain.,Sympathize with others' feelings.,2,+
Saya sering berantakan meletakkan barang-barang saya.,Make a mess of things.,3,-
Saya jarang merasa sedih.,Seldom feel blue.,4,+
Saya kurang berminat dengan ide-ide yang berbeda dari biasanya.,Am not interested in abstract ideas.,5,-
Saya selalu memulai percakapan pada berbagai situasi.,Start conversations.,1,+
Saya kurang berminat dengan masalah orang lain.,Am not interested in other people's problems.,2,-
Saya menyelesaikan tugas-tugas sesuai prosedur.,Get chores done right away.,3,+
Saya mudah tersinggung.,Am easily disturbed.,4,-
Saya selalu memiliki ide-ide cemerlang.,Have excellent ideas.,5,+
Saya sedikit bicara ketika berkumpul dengan banyak orang.,Have little to say.,1,-
Saya memiliki hati yang lembut.,Have a soft heart.,2,+
Saya sering lupa meletakkan sesuatu pada tempatnya.,Often forget to put things back in their proper place.,3,-
Saya mudah terpancing amarah.,Get upset easily.,4,-
Saya tidak memiliki imajinasi yang baik.,Do not have a good imagination.,5,-
"Dalam berinteraksi, saya mengajak bicara siapa saja.",Talk to a lot of different people at parties.,1,+
Saya kurang berminat untuk berhubungan dengan orang lain.,Am not really interested in others.,2,-
Saya suka keteraturan.,Like order.,3,+
Saya seorang yang moody.,Change my mood a lot.,4,-
Saya cepat memahami masalah.,Am quick to understand things.,5,+
Saya tidak suka menarik perhatian orang lain.,Don't like to draw attention to myself.,1,-
Saya senang meluangkan waktu untuk orang lain.,Take time out for others.,2,+
Saya lalai terhadap tugas-tugas saya.,Shirk my duties.,3,-
Mood saya sering berubah.,Have frequent mood swings.,4,-
Saya sering menggunakan kata-kata yang sulit dalam suatu diskusi.,Use difficult words.,5,+
Saya senang menjadi pusat perhatian.,Don't mind being the center of attention.,1,+
Saya ikut merasakan perasaan orang lain.,Feel others' emotions.,2,+
"Dalam mengerjakan sesuatu, saya selalu mengikuti jadwal.",Follow a schedule.,3,+
Saya seorang yang sensitif.,Get irritated easily.,4,-
Saya sering berpikir tentang sesuatu.,Spend time reflecting on things.,5,+
Saya cenderung diam saat berada dalam lingkungan baru.,Am quiet around strangers.,1,-
Saya selalu membuat orang lain merasa nyaman.,Make people feel at ease.,2,+
Saya menjaga keakuratan hasil kerja saya.,Am exacting in my work.,3,+
Saya sering merasa sedih.,Often feel blue.,4,-
Saya memiliki banyak ide dalam pikiran saya.,Am full of ideas.,5,+
